ListPrice,ListingKey,ClosePrice,Latitude,Longitude,PostalCode,CloseDate,BedroomsTotal,BathroomsTotalInteger,LivingArea,LotSizeSquareFeet,DaysOnMarket,Residential
3200000.0,1125756819,3185000.0,33.546169,-117.785681,92651,2026-04-30,3.0,3.0,2066.0,6125.0,61,1
279000.0,1125717100,240000.0,34.874124,-118.217579,93560,2026-04-13,3.0,2.0,1440.0,108900.0,163,1
550000.0,1125715689,600000.0,34.893404,-116.969973,92311,2026-04-02,5.0,3.0,4298.0,163350.0,135,1
689000.0,1125710075,660000.0,34.396473,-119.298041,93022,2026-04-16,3.0,2.0,1386.0,6534.0,210,1
3599000.0,1125688829,3550000.0,33.470807,-117.585658,92673,2026-04-21,5.0,6.0,4766.0,10393.0,206,1
1120000.0,1125676097,1110000.0,33.681261,-117.24503500000002,92587,2026-04-13,3.0,2.0,1666.0,6970.0,212,1
1025000.0,1125645528,1000000.0,36.668496000000005,-121.789965,93933,2026-04-08,4.0,3.0,1908.0,2803.0,215,1
568000.0,1125640944,560000.0,33.735409000000004,-117.186019,92585,2026-04-14,4.0,3.0,2409.0,8276.0,195,1
1574000.0,1125629554,1574135.0,34.489082,-118.557029,91354,2026-04-23,4.0,5.0,3685.0,12832.0,179,1
1150000.0,1125626147,1012500.0,34.170778000000006,-118.128617,91104,2026-04-15,4.0,2.0,1614.0,3993.0,176,1
1399000.0,1125622757,1300000.0,34.166274,-118.633801,91367,2026-04-03,4.0,5.0,3047.0,9407.0,204,1
1073999.0,1125559332,1050000.0,34.211426,-118.41048700000002,91605,2026-04-24,4.0,3.0,1954.0,6162.0,242,1
749000.0,1123830265,700000.0,34.179959999999994,-116.304518,92252,2026-04-29,3.0,3.0,1379.0,108900.0,227,1
1079990.0,1123615078,1050000.0,34.483298,-118.566602,91354,2026-04-23,4.0,5.0,4138.0,7937.0,170,1
474000.0,1120352649,435000.0,34.240863,-117.26126,92325,2026-04-15,3.0,2.0,2555.0,11716.0,216,1
374900.0,1120346317,374900.0,37.202751,-119.77254,93614,2026-04-02,3.0,3.0,2456.0,136342.8,205,1
1224000.0,1120317932,1200000.0,37.07493783,-122.01434024,95066,2026-04-20,4.0,2.0,2210.0,36285.0,216,1
