Model,PriceRank,RowCount,LogForm,R2 Score,MAPE,MdAPE
Gradient Boosting Regressor,Medium,20412,False,0.9953458202919142,0.002914425275331417,0.001821044710721883
Gradient Boosting Regressor,Medium-High,20499,False,0.9949160633863384,0.003861355593461461,0.0029273313137660735
Gradient Boosting Regressor,High,20327,False,0.9816526686881942,0.020284207218467864,0.01545377160223977
Gradient Boosting Regressor,Low,20417,True,0.9930927261483276,0.0003389526527668407,0.00018424079338009937
Gradient Boosting Regressor,Low-Medium,20416,True,0.9971466726499646,2.0715169935756856e-05,4.900245697754545e-06
Gradient Boosting Regressor,Medium,20412,True,0.9964427577856622,3.74800978882946e-05,7.86596465378467e-06
Gradient Boosting Regressor,Medium-High,20499,True,0.9955025763616743,4.315216705412915e-05,1.8220729729070042e-05
Gradient Boosting Regressor,High,20327,True,0.9976778135711097,0.00027798178841971076,0.00012484158011764025
LightGBM,Low,20417,False,0.9983004459517042,0.006892982135596304,0.0027031995824996873
LightGBM,Low-Medium,20416,False,0.9987156389062373,0.0013911644203375402,0.00012059312484976973
LightGBM,Medium,20412,False,0.9992570366775091,0.0015845456004264882,0.00031517157708125674
LightGBM,Medium-High,20499,False,0.9980605880192008,0.0020746901038956006,0.0008451909672561322
LightGBM,High,20327,False,0.9751897913905665,0.01819201939052492,0.01350223092950462
LightGBM,Low,20417,True,0.998173038717399,0.0006447628041861648,0.0003105330041872769
LightGBM,Low-Medium,20416,True,0.9988210258514345,0.00011067140145072092,9.345282853606263e-06
LightGBM,Medium,20412,True,0.9992920758067759,0.00011524872189505126,2.397228440099602e-05
LightGBM,Medium-High,20499,True,0.9981721388128505,0.00014967062123553122,5.410869469019597e-05
LightGBM,High,20327,True,0.9983696207879958,0.0005250616432358221,0.00027923774754578384
Histogram-based Gradient Boosting Regressor,Low,20417,False,0.9982994402624376,0.012097486975700017,0.004808768129582148
Histogram-based Gradient Boosting Regressor,Low-Medium,20416,False,0.9979745564699483,0.001810397894299913,0.0008212925422721251
Histogram-based Gradient Boosting Regressor,Medium,20412,False,0.997478491992737,0.002007488832766582,0.0006599267928771532
Histogram-based Gradient Boosting Regressor,Medium-High,20499,False,0.998036271241463,0.0023563539915458986,0.001327756880705309
Histogram-based Gradient Boosting Regressor,High,20327,False,0.9641995464348674,0.03317419701879506,0.02347792697132202
Histogram-based Gradient Boosting Regressor,Low,20417,True,0.9931455219772852,0.0007229522047252714,0.00034965473791779113
Histogram-based Gradient Boosting Regressor,Low-Medium,20416,True,0.9977662120213519,0.00012540969905259732,6.55200024248107e-05
Histogram-based Gradient Boosting Regressor,Medium,20412,True,0.9973660268063417,0.00013923067339232902,4.843939748980927e-05
Histogram-based Gradient Boosting Regressor,Medium-High,20499,True,0.9982497573774777,0.00015094385879910524,7.43448048578526e-05
Histogram-based Gradient Boosting Regressor,High,20327,True,0.9983709174605653,0.0006147477096693774,0.00035504789827632305
